simulations,uct_c,games,seed_base,black_wins,white_wins,draws,black_win_rate,white_win_rate,avg_time_per_move,avg_total_wall_time,avg_game_moves,avg_search_nodes,avg_score_diff
50,0.5,5,42,3,2,0,0.6,0.4,1.1191658542434033,83.39077874210197,75.4,49.99007676689588,8.9
50,1.414,5,42,3,2,0,0.6,0.4,1.024996686586913,79.46237775774208,79.8,49.5062595648708,-10.7
50,2.0,5,42,2,3,0,0.4,0.6,1.1033213048436774,69.37040551751852,63.6,50.36599254297799,-8.3
100,0.5,5,42,2,3,0,0.4,0.6,2.271525221634468,172.6381068505114,79.4,98.11542339329681,3.5
100,1.414,5,42,1,4,0,0.2,0.8,1.967916438330418,128.90549359172581,65.6,97.95955873289782,-14.7
100,2.0,5,42,4,1,0,0.8,0.2,2.103059425102612,168.8677782315528,82.2,98.71911961733846,8.9
200,0.5,5,42,2,3,0,0.4,0.6,4.567290550828066,296.4411605237983,66.0,197.48104542058564,-2.3
200,1.414,5,42,3,2,0,0.6,0.4,4.570739510905074,372.12870112480596,82.8,193.28913383967523,8.1
200,2.0,5,42,1,4,0,0.2,0.8,4.1676131911995435,291.6689362330828,74.0,196.69508740581912,-9.9
300,0.5,5,42,2,3,0,0.4,0.6,6.300129989500761,404.3626358256908,73.2,291.67943604329173,1.7
300,1.414,5,42,3,2,0,0.6,0.4,6.016513774733532,325.56123451609164,60.4,294.88641077130467,7.7
300,2.0,5,42,2,3,0,0.4,0.6,4.328221390304092,373.3046143659623,86.4,288.8458901286044,-13.9
500,0.5,5,42,2,3,0,0.4,0.6,8.072769130195493,555.7657861580607,71.4,482.1307792813353,-13.5
500,1.414,5,42,1,4,0,0.2,0.8,6.143753671373355,543.2611158148618,89.0,473.1470856039181,-23.7
500,2.0,5,42,4,1,0,0.8,0.2,7.191772830382926,455.19023620013616,68.6,485.47747633252874,19.9
